spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,5.0,2.0,422.0,7.0,49.0,1.0,1.0,309.0,74.0,82.0,4.0,1636865716.0,0.83,0.81,1.0,1133193870.0,1377742728.0,43.0,1.0,913.0,1.0,28.0,2.0,326.0,4.0,2627.008
0.0,0.0,4.0,2.0,384.0,5.0,47.0,0.0,1.0,327.0,95.0,54.0,6.0,1287485858.0,0.72,0.77,0.0,1420263841.0,1928932169.0,40.0,0.0,813.0,0.0,44.0,3.0,277.0,3.0,2652.018
1.0,922.0,4.0,2.0,384.0,5.0,54.0,0.0,1.0,357.0,111.0,41.0,5.0,1333064426.0,0.79,0.7,1.0,1157258201.0,1090364365.0,43.0,1.0,633.0,0.0,22.0,4.0,335.0,1.0,2656.721
0.0,0.0,4.0,2.0,384.0,5.0,41.0,0.0,0.0,364.0,97.0,58.0,6.0,2119595978.0,0.72,0.69,0.0,1151884428.0,1359466867.0,71.0,0.0,901.0,1.0,35.0,3.0,161.0,2.0,2640.505
0.0,0.0,4.0,2.0,481.0,6.0,44.0,0.0,0.0,365.0,67.0,70.0,6.0,2053429658.0,0.5,0.87,1.0,1534600676.0,1854974903.0,34.0,1.0,577.0,0.0,38.0,2.0,301.0,4.0,2590.66
1.0,516.0,4.0,2.0,415.0,6.0,47.0,1.0,1.0,427.0,125.0,113.0,10.0,1393892498.0,0.52,0.66,1.0,1393981984.0,1474397328.0,33.0,0.0,917.0,1.0,40.0,4.0,343.0,3.0,2628.121
0.0,0.0,3.0,1.0,384.0,4.0,59.0,1.0,0.0,482.0,91.0,125.0,10.0,2090271641.0,0.73,0.75,0.0,2100139361.0,1780078820.0,52.0,1.0,576.0,1.0,21.0,1.0,328.0,1.0,2877.177
0.0,0.0,4.0,2.0,490.0,6.0,40.0,0.0,0.0,371.0,125.0,59.0,4.0,1113554664.0,0.72,0.83,1.0,1106843849.0,1083051689.0,58.0,0.0,609.0,0.0,23.0,5.0,232.0,4.0,2609.79
0.0,0.0,4.0,2.0,384.0,8.0,40.0,1.0,1.0,352.0,34.0,39.0,7.0,1986744382.0,0.82,0.87,0.0,1810492865.0,1189669819.0,47.0,0.0,780.0,1.0,33.0,3.0,191.0,1.0,2583.001
0.0,0.0,7.0,3.0,612.0,8.0,43.0,1.0,0.0,376.0,55.0,106.0,5.0,1978322253.0,0.53,0.8,0.0,1847033462.0,1973364718.0,28.0,0.0,668.0,1.0,19.0,2.0,348.0,3.0,2578.447
1.0,964.0,3.0,1.0,384.0,7.0,50.0,0.0,1.0,202.0,127.0,80.0,7.0,1669393034.0,0.79,0.72,1.0,1127573261.0,1647693785.0,50.0,1.0,711.0,0.0,21.0,5.0,297.0,3.0,2753.519
0.0,0.0,5.0,2.0,384.0,8.0,52.0,1.0,1.0,471.0,66.0,88.0,10.0,1942673826.0,0.6,0.75,0.0,2043310334.0,1281934488.0,35.0,1.0,787.0,0.0,35.0,3.0,318.0,4.0,2578.819
1.0,755.0,4.0,2.0,384.0,6.0,54.0,1.0,0.0,487.0,33.0,42.0,5.0,1883266910.0,0.8,0.83,0.0,1717892121.0,1382670114.0,61.0,0.0,825.0,1.0,25.0,2.0,155.0,1.0,2647.648
0.0,0.0,5.0,2.0,384.0,5.0,44.0,1.0,1.0,429.0,94.0,33.0,9.0,1963188502.0,0.52,0.63,1.0,1633888599.0,1693464601.0,55.0,0.0,610.0,1.0,19.0,5.0,171.0,1.0,2680.327
0.0,0.0,6.0,3.0,705.0,6.0,42.0,0.0,0.0,388.0,91.0,64.0,4.0,1533598033.0,0.75,0.88,0.0,1112468923.0,1565120305.0,45.0,1.0,827.0,0.0,28.0,2.0,344.0,3.0,2572.472
1.0,914.0,5.0,2.0,438.0,8.0,63.0,1.0,0.0,297.0,40.0,123.0,5.0,1628962780.0,0.71,0.77,0.0,2081756191.0,1966928693.0,68.0,0.0,966.0,0.0,34.0,1.0,246.0,1.0,2579.843
1.0,976.0,4.0,2.0,471.0,4.0,48.0,0.0,0.0,375.0,126.0,39.0,6.0,1444200533.0,0.55,0.74,0.0,1177357988.0,2114032627.0,60.0,0.0,505.0,1.0,35.0,1.0,156.0,2.0,2708.466
0.0,0.0,5.0,2.0,446.0,6.0,64.0,1.0,1.0,251.0,36.0,65.0,10.0,1226811651.0,0.83,0.56,1.0,2056591649.0,2082893097.0,68.0,1.0,522.0,0.0,18.0,4.0,319.0,1.0,2609.688
1.0,1006.0,3.0,1.0,384.0,8.0,47.0,1.0,1.0,327.0,61.0,45.0,4.0,1180064410.0,0.51,0.88,0.0,1952121626.0,1668121769.0,44.0,0.0,820.0,0.0,19.0,5.0,232.0,2.0,2717.398
1.0,1005.0,4.0,2.0,384.0,5.0,61.0,0.0,1.0,359.0,95.0,73.0,7.0,1531268446.0,0.75,0.71,1.0,1706364907.0,1300360548.0,57.0,1.0,600.0,0.0,47.0,1.0,338.0,4.0,2640.33
1.0,616.0,5.0,2.0,590.0,5.0,53.0,0.0,1.0,224.0,66.0,44.0,6.0,1215667254.0,0.62,0.73,0.0,1718262048.0,1635634243.0,69.0,0.0,632.0,0.0,17.0,4.0,293.0,4.0,2665.401
0.0,0.0,6.0,3.0,389.0,8.0,57.0,0.0,0.0,445.0,94.0,122.0,7.0,1454266973.0,0.84,0.69,1.0,1123061826.0,1258158544.0,72.0,0.0,502.0,1.0,24.0,3.0,257.0,2.0,2567.531
