spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
4.0,15.0,9.0,58.0,0.0,0.0,497.0,115.0,54.0,5.0,1415674830.0,0.69,0.0,875.0,0.72,1.0,1683225875.0,1264340079.0,25.0,1.0,839.0,0.0,48.0,5.0,463.0,0.7,8.0,985.732
2.0,13.0,9.0,6.0,1.0,1.0,242.0,99.0,55.0,6.0,1572470204.0,0.76,1.0,818.0,0.61,1.0,1856996249.0,1415544506.0,37.0,0.0,937.0,0.0,39.0,1.0,457.0,0.59,8.0,518.229
4.0,11.0,13.0,42.0,0.0,0.0,297.0,68.0,116.0,8.0,1691239101.0,0.51,1.0,652.0,0.62,1.0,1218878892.0,1307256979.0,38.0,1.0,858.0,1.0,21.0,5.0,154.0,0.79,1.0,231.355
4.0,13.0,11.0,63.0,1.0,0.0,303.0,33.0,84.0,10.0,1541519234.0,0.81,0.0,837.0,0.52,0.0,1223009189.0,1446455894.0,42.0,0.0,756.0,0.0,38.0,5.0,204.0,0.72,3.0,502.127
2.0,12.0,15.0,50.0,1.0,1.0,341.0,73.0,126.0,2.0,1299332278.0,0.76,1.0,728.0,0.76,1.0,1758147171.0,1277349425.0,48.0,1.0,791.0,1.0,24.0,2.0,246.0,0.72,6.0,232.048
2.0,15.0,16.0,34.0,1.0,0.0,213.0,51.0,71.0,5.0,1502737335.0,0.57,0.0,951.0,0.84,0.0,1075933886.0,1214586579.0,44.0,1.0,653.0,0.0,24.0,3.0,366.0,0.5,1.0,262.036
3.0,14.0,16.0,42.0,0.0,1.0,285.0,52.0,53.0,5.0,1577101902.0,0.61,1.0,596.0,0.71,1.0,1230646720.0,1990959124.0,67.0,0.0,919.0,1.0,47.0,4.0,496.0,0.5,1.0,242.311
2.0,15.0,10.0,10.0,1.0,0.0,455.0,54.0,66.0,4.0,1452731015.0,0.67,1.0,580.0,0.57,0.0,1483595809.0,1171087991.0,48.0,0.0,902.0,1.0,24.0,3.0,468.0,0.73,10.0,377.363
2.0,8.0,11.0,45.0,0.0,0.0,398.0,106.0,58.0,5.0,1829114917.0,0.63,1.0,931.0,0.7,0.0,1256418652.0,1267656806.0,38.0,0.0,514.0,1.0,21.0,2.0,466.0,0.89,8.0,209.114
4.0,8.0,14.0,54.0,0.0,0.0,466.0,77.0,44.0,8.0,2053617107.0,0.58,0.0,743.0,0.61,0.0,1732766153.0,1367225556.0,37.0,1.0,875.0,0.0,20.0,3.0,352.0,0.86,8.0,678.527
2.0,13.0,8.0,63.0,0.0,1.0,496.0,75.0,75.0,5.0,1389656848.0,0.88,0.0,1020.0,0.64,0.0,1096227260.0,1706245426.0,37.0,0.0,706.0,0.0,46.0,4.0,397.0,0.81,8.0,486.439
2.0,15.0,9.0,24.0,0.0,0.0,468.0,115.0,53.0,8.0,2028444711.0,0.62,0.0,523.0,0.59,0.0,1396309240.0,1329405846.0,67.0,1.0,626.0,1.0,33.0,4.0,356.0,0.58,2.0,436.424
4.0,8.0,8.0,29.0,0.0,1.0,332.0,48.0,92.0,2.0,1101007898.0,0.69,1.0,565.0,0.8,0.0,1861834331.0,1926229804.0,30.0,0.0,850.0,1.0,28.0,2.0,450.0,0.57,6.0,549.279
4.0,8.0,11.0,49.0,1.0,0.0,304.0,84.0,107.0,8.0,1611831428.0,0.67,1.0,647.0,0.75,0.0,1699613234.0,2036404864.0,51.0,0.0,683.0,0.0,40.0,4.0,318.0,0.62,2.0,211.226
2.0,16.0,13.0,6.0,1.0,1.0,393.0,109.0,105.0,3.0,1852970242.0,0.62,1.0,932.0,0.53,1.0,1902360053.0,1383831917.0,30.0,1.0,670.0,0.0,19.0,3.0,358.0,0.7,5.0,322.141
3.0,14.0,14.0,30.0,1.0,1.0,374.0,38.0,58.0,7.0,1743307657.0,0.65,0.0,734.0,0.54,1.0,1249434823.0,2097185867.0,44.0,1.0,663.0,0.0,41.0,1.0,148.0,0.76,1.0,269.548
4.0,14.0,14.0,38.0,0.0,0.0,316.0,122.0,97.0,3.0,1104608546.0,0.61,1.0,926.0,0.74,0.0,1642550735.0,1477616543.0,41.0,1.0,544.0,1.0,38.0,2.0,259.0,0.71,3.0,259.389
