spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
1.0,809.0,6.0,3.0,612.0,6.0,54.0,0.0,1.0,455.0,123.0,99.0,9.0,1382875889.0,0.61,0.82,0.0,1674099065.0,55.0,776.0,20.0,3.0,246.0,2.0,354.0,5829785.0,10172.0,1.0,835.0
0.0,0.0,4.0,2.0,384.0,4.0,34.0,1.0,1.0,230.0,110.0,73.0,4.0,1314300486.0,0.88,0.64,1.0,1238367982.0,49.0,970.0,31.0,1.0,160.0,4.0,395.0,14948895.0,10665.0,0.0,950.0
1.0,516.0,6.0,3.0,727.0,8.0,45.0,0.0,0.0,281.0,98.0,100.0,8.0,1973724502.0,0.64,0.51,1.0,1502008064.0,52.0,908.0,43.0,1.0,192.0,1.0,250.0,5493467.0,10671.0,0.0,824.0
0.0,0.0,5.0,2.0,530.0,6.0,62.0,0.0,1.0,284.0,118.0,54.0,4.0,2116200458.0,0.83,0.82,0.0,1761929563.0,56.0,984.0,23.0,1.0,154.0,1.0,383.0,14356571.0,11104.0,1.0,1011.0
0.0,0.0,4.0,2.0,384.0,6.0,64.0,1.0,1.0,365.0,77.0,127.0,5.0,1424563018.0,0.81,0.54,1.0,1802591661.0,57.0,893.0,22.0,1.0,213.0,1.0,331.0,6629706.0,8581.0,0.0,1017.0
0.0,0.0,5.0,2.0,384.0,7.0,59.0,1.0,1.0,331.0,85.0,90.0,9.0,1644383210.0,0.79,0.75,1.0,1934208495.0,64.0,838.0,19.0,1.0,186.0,1.0,273.0,6183676.0,11887.0,1.0,854.0
1.0,781.0,6.0,3.0,542.0,6.0,45.0,1.0,0.0,249.0,93.0,73.0,4.0,1498228915.0,0.55,0.84,1.0,1188687130.0,57.0,956.0,37.0,2.0,219.0,4.0,277.0,8823800.0,9104.0,1.0,778.0
1.0,775.0,4.0,2.0,384.0,4.0,49.0,1.0,0.0,453.0,93.0,118.0,10.0,1934422343.0,0.74,0.51,1.0,1998768442.0,51.0,899.0,36.0,3.0,166.0,3.0,309.0,9920416.0,8648.0,1.0,916.0
0.0,0.0,6.0,3.0,608.0,5.0,32.0,0.0,0.0,498.0,49.0,80.0,5.0,1873791308.0,0.86,0.71,0.0,2116887937.0,70.0,867.0,41.0,1.0,240.0,2.0,268.0,9872326.0,10305.0,1.0,758.0
0.0,0.0,7.0,3.0,858.0,4.0,60.0,0.0,0.0,484.0,95.0,75.0,8.0,1664459794.0,0.71,0.78,0.0,1590209734.0,55.0,538.0,32.0,1.0,250.0,4.0,294.0,8559188.0,11778.0,0.0,829.0
1.0,571.0,5.0,2.0,428.0,4.0,37.0,0.0,1.0,392.0,79.0,65.0,7.0,1537489104.0,0.71,0.7,1.0,1883223449.0,67.0,942.0,45.0,1.0,200.0,3.0,319.0,10087351.0,9089.0,1.0,890.0
0.0,0.0,6.0,3.0,732.0,8.0,43.0,1.0,0.0,321.0,91.0,124.0,9.0,1678338221.0,0.9,0.71,1.0,1545607788.0,62.0,722.0,38.0,2.0,222.0,2.0,325.0,11158399.0,11146.0,1.0,899.0
1.0,735.0,5.0,2.0,553.0,7.0,59.0,0.0,0.0,217.0,75.0,109.0,4.0,1824570301.0,0.72,0.65,1.0,1120926231.0,40.0,787.0,34.0,1.0,238.0,1.0,262.0,12173394.0,10391.0,0.0,773.0
0.0,0.0,4.0,2.0,477.0,6.0,45.0,0.0,1.0,350.0,75.0,102.0,4.0,1390900564.0,0.52,0.66,0.0,1933911821.0,50.0,760.0,22.0,2.0,168.0,1.0,262.0,9494579.0,8556.0,1.0,884.0
