spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
1.0,2.0,5.0,10.0,1.0,0.0,335.0,44.0,44.0,6.0,2140851530.0,0.74,1.0,878.0,0.69,1.0,1863043892.0,1738522250.0,54.0,1.0,776.0,0.0,41.0,3.0,204.0,0.71,2.0,1018.104
4.0,7.0,8.0,14.0,0.0,1.0,332.0,93.0,35.0,4.0,1333327060.0,0.55,0.0,669.0,0.9,0.0,1205354852.0,2047051904.0,38.0,1.0,902.0,0.0,39.0,1.0,291.0,0.82,6.0,173.309
4.0,8.0,3.0,10.0,1.0,1.0,284.0,100.0,38.0,9.0,1100981305.0,0.71,1.0,782.0,0.72,0.0,1322150148.0,1465401838.0,43.0,1.0,789.0,0.0,36.0,3.0,226.0,0.69,6.0,176.318
3.0,5.0,4.0,49.0,1.0,1.0,421.0,79.0,118.0,2.0,1314831654.0,0.86,1.0,645.0,0.85,0.0,1203488398.0,2145614314.0,37.0,0.0,759.0,1.0,37.0,5.0,181.0,0.62,7.0,320.888
3.0,5.0,5.0,53.0,0.0,1.0,277.0,124.0,79.0,5.0,2123394327.0,0.62,0.0,579.0,0.85,0.0,1618333822.0,1875795482.0,57.0,1.0,856.0,0.0,48.0,1.0,479.0,0.56,1.0,238.428
3.0,4.0,8.0,11.0,0.0,1.0,216.0,47.0,83.0,8.0,1387003191.0,0.87,0.0,856.0,0.58,0.0,1180924913.0,1579700981.0,27.0,0.0,765.0,0.0,45.0,4.0,226.0,0.8,6.0,291.549
4.0,5.0,6.0,31.0,1.0,1.0,386.0,44.0,88.0,3.0,1414820260.0,0.55,1.0,650.0,0.86,1.0,1815580093.0,1379617760.0,71.0,1.0,621.0,0.0,48.0,2.0,176.0,0.67,6.0,199.553
4.0,5.0,7.0,31.0,1.0,1.0,331.0,45.0,104.0,8.0,1433774059.0,0.86,0.0,744.0,0.61,1.0,1463624928.0,2014948590.0,58.0,1.0,816.0,1.0,42.0,5.0,228.0,0.81,6.0,277.853
2.0,4.0,4.0,12.0,1.0,0.0,401.0,33.0,74.0,8.0,1080389526.0,0.54,1.0,1001.0,0.85,0.0,1623229355.0,1849049703.0,32.0,1.0,967.0,1.0,45.0,5.0,114.0,0.88,6.0,396.679
1.0,5.0,4.0,7.0,1.0,1.0,420.0,63.0,80.0,2.0,1946355144.0,0.56,1.0,553.0,0.88,0.0,1666366477.0,1880462354.0,27.0,0.0,952.0,1.0,30.0,3.0,136.0,0.67,5.0,502.066
4.0,7.0,5.0,34.0,0.0,1.0,276.0,78.0,60.0,2.0,1595260958.0,0.84,1.0,883.0,0.88,0.0,1358387073.0,1458093881.0,30.0,1.0,569.0,0.0,16.0,5.0,286.0,0.81,3.0,167.82
1.0,2.0,8.0,38.0,1.0,0.0,379.0,81.0,38.0,8.0,2136913872.0,0.9,1.0,531.0,0.84,1.0,1508842113.0,1573676010.0,62.0,1.0,744.0,1.0,39.0,3.0,128.0,0.52,9.0,1037.03
2.0,3.0,6.0,58.0,0.0,1.0,390.0,103.0,57.0,6.0,1821499572.0,0.8,0.0,772.0,0.67,1.0,1625633905.0,1746564316.0,50.0,0.0,665.0,1.0,46.0,3.0,257.0,0.66,2.0,533.074
4.0,6.0,6.0,24.0,1.0,0.0,302.0,82.0,47.0,6.0,1137582591.0,0.55,1.0,566.0,0.51,1.0,2048964020.0,1342257820.0,71.0,1.0,847.0,0.0,20.0,5.0,122.0,0.89,1.0,164.913
2.0,2.0,6.0,52.0,1.0,0.0,451.0,122.0,122.0,2.0,1268247374.0,0.51,0.0,764.0,0.61,0.0,1143376376.0,1947623422.0,69.0,0.0,792.0,1.0,37.0,1.0,170.0,0.65,5.0,997.986
